district_id,state_id,state_code,district_code,district_name
01,01,01,01,BATU PAHAT
02,01,01,02,JOHOR BAHRU
03,01,01,03,KLUANG
04,01,01,04,KOTA TINGGI
05,01,01,05,MERSING
06,01,01,06,MUAR
07,01,01,07,PONTIAN
08,01,01,08,SEGAMAT
09,01,01,21,KULAI
10,01,01,22,TANGKAK
11,02,02,01,KOTA SETAR
12,02,02,02,KUBANG PASU
13,02,02,03,PADANG TERAP
14,02,02,04,LANGKAWI
15,02,02,05,KUALA MUDA
16,02,02,06,YAN
17,02,02,07,SIK
18,02,02,08,BALING
19,02,02,09,KULIM
20,02,02,10,BANDAR BAHARU
21,02,02,11,PENDANG
22,02,02,12,POKOK SENA
23,03,03,01,BACHOK
24,03,03,02,KOTA BHARU
25,03,03,03,MACHANG
26,03,03,04,PASIR MAS
27,03,03,05,PASIR PUTEH
28,03,03,06,TANAH MERAH
29,03,03,07,TUMPAT
30,03,03,08,GUA MUSANG
31,03,03,10,KUALA KRAI
32,03,03,11,JELI
33,03,03,12,KECIL LOJING
34,04,04,01,MELAKA TENGAH
35,04,04,02,JASIN
36,04,04,03,ALOR GAJAH
37,05,05,01,JELEBU
38,05,05,02,KUALA PILAH
39,05,05,03,PORT DICKSON
40,05,05,04,REMBAU
41,05,05,05,SEREMBAN
42,05,05,06,TAMPIN
43,05,05,07,JEMPOL
44,06,06,01,BENTONG
45,06,06,02,CAMERON HIGHLANDS
46,06,06,03,JERANTUT
47,06,06,04,KUANTAN
48,06,06,05,LIPIS
49,06,06,06,PEKAN
50,06,06,07,RAUB
51,06,06,08,TEMERLOH
52,06,06,09,ROMPIN
53,06,06,10,MARAN
54,06,06,11,BERA
55,06,06,12,KECIL GENTING
56,06,06,13,KECIL GEBENG
57,06,06,14,KECIL JELAI
58,06,06,15,KECIL MUADZAM SHAH
59,07,07,01,SEBERANG PERAI TENGAH
60,07,07,02,SEBERANG PERAI UTARA
61,07,07,03,SEBERANG PERAI SELATAN
62,07,07,04,TIMOR LAUT
63,07,07,05,BARAT DAYA
64,08,08,01,BATANG PADANG
65,08,08,02,MANJUNG
66,08,08,03,KINTA
67,08,08,04,KERIAN
68,08,08,05,KUALA KANGSAR
69,08,08,06,LARUT MATANG DAN SELAMA
70,08,08,07,HILIR PERAK
71,08,08,08,HULU PERAK
72,08,08,09,SELAMA
73,08,08,10,PERAK TENGAH
74,08,08,11,KAMPAR
75,08,08,12,MUALLIM
76,08,08,13,BAGAN DATUK
77,09,09,01,PERLIS
78,10,10,01,KLANG
79,10,10,02,KUALA LANGAT
80,10,10,04,KUALA SELANGOR
81,10,10,05,SABAK BERNAM
82,10,10,06,ULU LANGAT
83,10,10,07,ULU SELANGOR
84,10,10,08,PETALING
85,10,10,09,GOMBAK
86,10,10,10,SEPANG
87,11,11,01,BESUT
88,11,11,02,DUNGUN
89,11,11,03,KEMAMAN
90,11,11,04,KUALA TERENGGANU
91,11,11,05,HULU TERENGGANU
92,11,11,06,MARANG
93,11,11,07,SETIU
94,11,11,08,KUALA NERUS
95,12,12,01,KOTA KINABALU
96,12,12,02,PAPAR
97,12,12,03,KOTA BELUD
98,12,12,04,TUARAN
99,12,12,05,KUDAT
100,12,12,06,RANAU
101,12,12,07,SANDAKAN
102,12,12,08,BELURAN
103,12,12,09,KINABATANGAN
104,12,12,10,TAWAU
105,12,12,11,LAHAD DATU
106,12,12,12,SEMPORNA
107,12,12,13,KENINGAU
108,12,12,14,TAMBUNAN
109,12,12,15,NABAWAN
110,12,12,16,TENOM
111,12,12,17,BEAUFORT
112,12,12,18,KUALA PENYU
113,12,12,19,SIPITANG
114,12,12,21,PENAMPANG
115,12,12,22,KOTA MARUDU
116,12,12,23,PITAS
117,12,12,24,KUNAK
118,12,12,25,TONGOD
119,12,12,26,PUTATAN
120,12,12,27,TELUPID
121,12,12,28,KALABAKAN
122,12,12,29,MEMBAKUT
123,13,13,01,KUCHING
124,13,13,02,BAU
125,13,13,03,LUNDU
126,13,13,04,SAMARAHAN
127,13,13,05,SERIAN
128,13,13,06,SIMUNJAN
129,13,13,07,SRI AMAN
130,13,13,08,LUBOK ANTU
131,13,13,09,BETONG
132,13,13,10,SARATOK
133,13,13,11,SARIKEI
134,13,13,12,MERADONG
135,13,13,13,DARO
136,13,13,14,JULAU
137,13,13,15,SIBU
138,13,13,16,DALAT
139,13,13,17,MUKAH
140,13,13,18,KANOWIT
141,13,13,19,BINTULU
142,13,13,20,TATAU
143,13,13,21,KAPIT
144,13,13,22,SONG
145,13,13,23,BELAGA
146,13,13,24,MIRI
147,13,13,25,MARUDI
148,13,13,26,LIMBANG
149,13,13,27,LAWAS
150,13,13,28,MATU
151,13,13,29,ASAJAYA
152,13,13,30,PAKAN
153,13,13,31,SELANGAU
154,13,13,32,TEBEDU
155,13,13,33,PUSA
156,13,13,34,KABONG
157,13,13,35,TANJUNG MANIS
158,13,13,36,SEBAUH
159,13,13,37,BUKIT MABONG
160,13,13,38,SUBIS
161,13,13,39,BELURU
162,13,13,40,TELANG USAN
163,13,13,41,PANTU
164,13,13,42,LINGGA
165,13,13,43,SIBURAN
166,13,13,44,SEBUYAU
167,13,13,45,GEDONG
168,14,14,01,KUALA LUMPUR
169,15,15,01,LABUAN
170,16,16,01,PUTRAJAYA
